Dr. Waldo,#Dr._Waldo,,['12'],Miscellanies.,EPF108491003,"12.
            An instrument or whisk for cleaning of
                pictures
              in China
                  ware. of an Indian Cows
                  tail with a mother of pearl handle from
                  Dr. Waldo at Suratte. Vis Quadrupe No. 1408
              - - 1. 6.
            
              
              X"
Capt. Walker.,,,['1820'],Miscellanies.,EPF108491003v,"-1820.
            A very large
              bow & arrows from New
                England by
              Capt. Walker.
              Fleches d'Amerique Biron p. 279.
             CL"
Capt. Walker,#Capt_Walker,,['1822'],Miscellanies.,EPF108491003v,"-1822
            A 
              large flat roundish
              earthen ware Jarr of an
              ash colour made by the Indians at
              Berbices near Surinam befor the coming of the Europeans into the West Indies from
              Capt. Walker."
Isaac Waldron Esqr ,,,['1831'],Miscellanies.,EPF108491003v,"-1831.
            A piece of some
              instrument of musick found at Meriat.
              hope near Bristol in some plowed land on a
              spott where King Philipp lived & undoubtedly was made befor any tools
              were invented there gave me by Isaac Waldron Esq
                  r
              Bristol March. 19. 1735/6 Id.
            
              
              28 b."
Abraham Waldron?,,,['1835'],Miscellanies.,EPF108491003v,"-1835.
            An Indian Stone pestle to beat in
                 trough made of wood burnt
              & hollowed by their hatchets) Indian corn to make Rocelure belong'd
              to Abraham Waldron?
              Id."
Mr. Courtens,,,['20'],Miscellanies.,EPF108491003v,"20.
            A crab tree clubb or mace very
              large & much knotted , with
               Mr. Courtens
              arms on the top of it."
Mr. Edwards,#Mr._Edwards,,['1838'],Miscellanies.,EPF108491004v,"-1838.
            A 
              bolt made of unicorns horn on wch. are rudely engraved boats
              canoes &c. fastened wt.
              a fish skin - From Hudsons
                  Bay by  Mr. Edwards.
            
              
              28 C"
Dr. Massy,#Richard_Middleton_Massey3,,['1843'],Miscellanies.,EPF108491004v,"-1843.
            A necklace made of a sweet smelling
                grasse from
              Hudsons bay by the natives who have
              of them made into bracelets by Dr. Massy an cyperus or
              Gr. Mariæ an for ornament or remedy?"
Mr. Edwards,#Mr._Edwards,,['1844'],Miscellanies.,EPF108491004v,"-1844.
            A fisgegg from Hudsons bay to catch salmon made of two long
              bearded bones sett at the end of a sharp wo- oden pole all fastened wt. fish
                gutts. from  Mr. Edwards."
Mr . Collinson.,,,['1845'],Miscellanies.,EPF108491004v,"-1845.
            A stick made of the sorrell tree in Carolina painted
                wt. brown lines. from  M
                  r. Collinson."
Monsr. Gosset,,,['1847'],Miscellanies.,EPF108491004v,"-1847.
            An odd figured punch ladle made of yew wood by  Monsr.
                Gosset in Ireland & given to me by him.
            
              
              19. O"
Dr. Mortimer,#Cromwell_Mortimer,,['1851'],Miscellanies.,EPF108491004v,"-1851.
            A china
              whitish tea dish wt. the gold fish painted on it from
                 Dr. Mortimer"
Mr. Gordon,#Mr._Gordon,,['1852'],Miscellanies.,EPF108491005v,"-1852.
            A tobacco pouch or purse made of
                maiz & some tinsel ribbon in wch.
              are pipes made of tobacco cutt small for
              smoking inclosed in small tubuli made of the
              covering or spathe of the maiz seeds. From  Mr. Gordon who had it from
              Mexico.
            
              
              
              
              25.
              X"
Dr . Massy,,,['1856'],Miscellanies.,EPF108491005v,"-1856.
            Stocking Shoes
              
                 Boots wt. a great top such as
              fisherman use made of Deer whale or fish
                skins from Hudsons bay by D
                  r. Massy.
            
              CCXVI"
Dr. Douce.,,,['1857'],Miscellanies.,EPF108491005v,"-1857.
            A crese or Indian dagger used by the Malays in a
              wooden Scabbard and an ebony handle in laid wt. gold plates. from Dr.
                Douce."
Duke of Bourbons,,,['1859'],Miscellanies.,EPF108491005v,"-1859.
            The  in Duke of Bourbonsgold
              in a blew chagrin case given by himselfe to me"
Mrs. Edwards.,,,['1861'],Miscellanies.,EPF108491005v,"-1861
            
             to me by
                  Mrs. Edwards.
              enter'd by mistake given by  Sr. Hans to
              me J Empson."
Sr. Hans,,,['1861'],Miscellanies.,EPF108491005v,"-1861
            
             to me by
                  Mrs. Edwards.
              enter'd by mistake given by  Sr. Hans to
              me J Empson."
J Empson,#J_Empson,,['1861'],Miscellanies.,EPF108491005v,"-1861
            
             to me by
                  Mrs. Edwards.
              enter'd by mistake given by  Sr. Hans to
              me J Empson."
Lady Sondes.,,,['1862'],Miscellanies.,EPF108491005v,"-1862
            
              Lady Sondes. enter'd by mistake
              given by  Sr. Hans to  Mr. Southwell"
Sr. Hans,,,['1862'],Miscellanies.,EPF108491005v,"-1862
            
              Lady Sondes. enter'd by mistake
              given by  Sr. Hans to  Mr. Southwell"
Mr. Southwell,#Robert_Southwell,51758315,['1862'],Miscellanies.,EPF108491005v,"-1862
            
              Lady Sondes. enter'd by mistake
              given by  Sr. Hans to  Mr. Southwell"
Dampier,#Dampier,36972348,['43'],Miscellanies.,EPF108491006,"43.
            An Indian hatchett sett in wood  It is a greenish
              stone or lapis  nephriticus & 0. 5.
                0.
              
                Aldrovand Mus. Metall. p. 158.
                
                 Dampier Voy vol 1. P. 85"
Mr . Styleman,,,['1863'],Miscellanies.,EPF108491006v,"-1863.
            A Chinese womans shoe brought from there by M
                  r.
                Styleman given me by his wife
            
              
              
              24"
Mr. Bell.,,,['1866'],Miscellanies.,EPF108491006v,"-1866.
            A rice or Alabaster
              box wt. a Chinese picture on it.
              by  Mr. Bell.
            
              
              A.W.F. 1853 Steatite. in form of a seated figure wh:
                forms lid. low relief. L. 2 5/8.
              
              X"
Capt. Midleton.,,,['1867'],Miscellanies.,EPF108491006v,"1867.
            A Canoa from Hudsons bay or
              Greenland wt. some
              instruments belonging to it. given to me by  Capt.
                  Midleton."
Mr. Hoofnail,,,['1869'],Miscellanies.,EPF108491006v,"-1869.
            A box containing the sevll. sorts of
                foyles to be used in setting under I wells or
              pretious stones or chrystalls, &
              glasse to counter feit them given to me by Mr. Hoofnail in
                fountain court in the strand Jeweller.
            
              
              27 C
              X"
Mrs. Hepheshebah Parker,,,['1871'],Miscellanies.,EPF108491006v,"-1871.
            A pincushion made by
                    Mrs. Hepheshebah Parker
                near Croydon of sevll. coloured silks & Brocade & sowed wt. the
              silks of the same colour by her who had great convulsions in the small pox &
              lost her sight by them Being her physitian I have seen strange convulsions
              on her temples wch. would rise to a great heighth in them I had sevll. letters from her wrote in her own hand wch. was a
              good one. When I tryed her wt. silks of sevll.
              colours she never miss'd telling me their true colours by tasting &
              smelling to them. The same she would tell of the sevll.
              colours by tasting & then smelling to them. I tryed her wt a flour of bellis minor from my garden wch had
                white & red petals
              & by tasting & smelling to ym. she declard their sevll. colours.
            
              
              29 a"
Dr. Labe,,,['1872'],Miscellanies.,EPF108491006v,"-1872.
            Sal Lactis vaccini chrystallini from Dr. Labe. Made use of
              in consumptions Hectics &c. the medicine is dear.
            
              
              19 k"
Mrs. Stephens,,,['1874'],Miscellanies.,EPF108491006v,"-1874.
            Powder of Mrs. Stephens for dissolving the stones?
            
              
              19 k"
Pet.,#James_Petiver,34799386,['1876'],Miscellanies.,EPF108491006v,"-1876.
            Maiden pipes.
              
                Pet.
            
              20 K"
Dr. Krieg,#David_Krieg,289291613,['55'],Miscellanies.,EPF108491007,"-55.
            A  Livonia
              Cittern sent me by
               Dr. Krieg, made of 2 pieces of
                wood, the one hollowed of firr, the other flatt & holes in it of oak."
Mr.- Cunningham,,,['64'],Miscellanies.,EPF108491007,"-64.
            A Chinese compasse sent me by Mr.- Cunningham in a Japan box.
            
              
              25"
Mr. Pycolas,,,['1880'],Miscellanies.,EPF108491007v,"-1880.
            Æsculapius & Hygiena incisd in a Chrystall wt.
              a- looking glasse plate behind it making it look-
              embossd given to me by Mr. Pycolas & made by Vale. Vicor."
Vale. Vicor,,,['1880'],Miscellanies.,EPF108491007v,"-1880.
            Æsculapius & Hygiena incisd in a Chrystall wt.
              a- looking glasse plate behind it making it look-
              embossd given to me by Mr. Pycolas & made by Vale. Vicor."
Short,,,['1891'],Miscellanies.,EPF108491007v,"1891.
             Short strings to hang over the breast of white
              Concha
                Veneris.
            
              
              28. C."
Marcus Moses,,,['1892'],Miscellanies.,EPF108491007v,"-1892.
            A modell of the green
              diamond brought from the diamond
              mines in Golconda by Marcus Moses
              valued at 20000. 40.000? ff 
            
              
              X"
Pet,,,['1895'],Miscellanies.,EPF108491007v,"-1895.
            Wax naked figures in filbert shells. 
                Pet
            
              
              
              20 M"
Dr. Massy,#Richard_Middleton_Massey3,,['1916'],Miscellanies.,EPF108491008v,"-1916.
            Glew:
              Ai & vw from
                China? used there as a medicine made of an asses skin steeped for 7 months in a well famous
                  Dr. Massy.
            
              
              19 f
              199 d"
Mr. Collier.,,,['1921'],Miscellanies.,EPF108491009v,"-1921.
            Jerusalem
              sope from Mr. Collier."
"Dr. Douce,",,,['1927'],Miscellanies.,EPF108491009v,"-1927.
            A semicircular old China ware scolloped dish
              given me by Dr. Douce, tis earthen ware glazed & very heavy.
            
              
              
              23. 6."
Mr. Alexr Light,,,['1933'],Miscellanies.,EPF108491009v,"-1933.
            An Indian basket made of twiggs by
              the Indians  Esquemos in Hudsons streights 63° North
              lat. & 72. longitudes from Mr. Alexr Light who traded
                wt. them, & had for knives & brasse
              butons 45 pieces of ivory whose uses learnd by their motions
              were"
Mrs. Bernard -----,,,['112'],Miscellanies.,EPF108491010,"-112.
            A lamp , bought of Mrs.
                  Bernard -----
              0. 5. 0."
Mrs. Hayes,,,['114'],Miscellanies.,EPF108491010,"-114.
            East India
              writing box bought  of Mrs. Hayes. It was sent to her 
              by her brother Dr. Waldo from  the East
                Indies. ------ } 0. 7. 6.
            
              
              X"
Dr. Waldo,#Dr._Waldo,,['114'],Miscellanies.,EPF108491010,"-114.
            East India
              writing box bought  of Mrs. Hayes. It was sent to her 
              by her brother Dr. Waldo from  the East
                Indies. ------ } 0. 7. 6.
            
              
              X"
Mr. Lapthorn,,,['115'],Miscellanies.,EPF108491010,"-115.
            A Chinese pillow in wch. are pencills
               paper ink &c. bought of 
              Mr. Lapthorn
              ----- } 1. 1. 6.
            
              
              X"
Mr. Lapthorn,,,['116'],Miscellanies.,EPF108491010,"-116.
            A case for a looking glasse from
              China. given me by Mr. Lapthorn }.
            
              
              25"
Father Fontenay,,,['119'],Miscellanies.,EPF108491010,"-119.
            A China
              Chauffer mains given by  Father Fontenay used there being filled wt. ashes to warm the hands in cold X"
Mr. Doyly,,,['122'],Miscellanies.,EPF108491011,"-122.
            A pike pretended to be cinamon wood but is only one
              covered artificially with cinamon bark given me by
                  Mr. Doyly.
              ---- }"
Capt Christophr. Middleton,,,['1934'],Miscellanies.,EPF108491011v,"-1934.
            Salt ous of water produced by melting
              Ice,taken from under the Surface of the sea in Hudson's
                Streights, by  Capt Christophr. Middleton F.R.S in July 1738. NB. out of
              Id LXXX [or pints] of this Water he obtained by evaporation only Zvj  of this Salt. He said the salt is not sensible to the tast
              in the water of the melted Ice & yt they comonly
              boil their Victuals in it. given by the Capt.
            
              
              19. k"
Mr. Bewley,,,['1938'],Miscellanies.,EPF108491011v,"-1938.
            A Mercuriall thermometer made by Mr. Bewley opposite to St. Martins church in imitation of Mr. Reaumurs."
Mr. Reaumurs,,,['1938'],Miscellanies.,EPF108491011v,"-1938.
            A Mercuriall thermometer made by Mr. Bewley opposite to St. Martins church in imitation of Mr. Reaumurs."
Mr. Millar,#Philip_Miller,36936358,['1969'],Miscellanies.,EPF108491012v,"1969.
            His Knapsack to be carried over his shoulders all brought from Jamaica given me by
               Mr. Millar."
Dr. Amman,,,['1970'],Miscellanies.,EPF108491012v,"1970.
            
              Pulvis, Quo Turcæ et Persæ ungues et barbam rubro colore
                tingunt. Persis Ghina. Est Pulvis Alcanne a Rauwolfio descriptus. From
                   Dr. Amman No.
                3."
Dr. Amman,,,['1980'],Miscellanies.,EPF108491013v,"-1980.
            Suffimentum Surucum. from  Dr. Amman."
Dr. Mortimer,#Cromwell_Mortimer,,['1981'],Miscellanies.,EPF108491013v,"-1981.
            A false pink colourd pearl. for a
              pendant or necklace. from  Dr.
              Mortimer."
Mr. Padmore,,,['1982'],Miscellanies.,EPF108491013v,"-1982.
            A wooden lock & key
              from Devonshire given me by Mr. Padmore"
Dr. Maty,,,['1984'],Miscellanies.,EPF108491013v,"-1984.
            
              
              
            
              
            
              
            
            
              in library with Dr.
                  Maty."
Dr. Morton,,,['1985'],Miscellanies.,EPF108491013v,"-1985.
            
              
            
            
              
            
            
              with  Dr. Morton"
Dr. Maty,,,['1987'],Miscellanies.,EPF108491013v,"-1987.
            
              
            
            
              
                Dr. Maty"
Francisco Fiamengo,,,['168'],Miscellanies.,EPF108491014,"168
            Venus & Adonis in cast Silver
              & 6. 9. 0.
              brasse by  Francisco
                  Fiamengo?-}
              ----6. 9. 0.
              
              Group. H 6.in
            
              
              
            27.
              A.W.F. 1853.
              
            XXX"
Mr. Beddevoles,,,['176'],Miscellanies.,EPF108491014,"-176.
            Mr.
                Beddevoles
              standing
              microscope for observing the circulation of the blood
              made by Mr. Marshall ---"
Mr. Marshall,,,['176'],Miscellanies.,EPF108491014,"-176.
            Mr.
                Beddevoles
              standing
              microscope for observing the circulation of the blood
              made by Mr. Marshall ---"
Mr. Wilson,,,['179'],Miscellanies.,EPF108491015,"-179.
            A Sett of microscopes made by Mr. 
                Wilson ----} ----2. 3.
                0.
            
              
              27 b"
Mr. Mellin,,,['180'],Miscellanies.,EPF108491015,"-180.
            A Sett of microscopes made by Mr.
                Mellin ---} ----5. 7.
                6.
            
              
              21. q"
Mr. Muss ch en broock,,,['181'],Miscellanies.,EPF108491015,"-181.
            A Sett of microscopes made by  Mr.
                Muss ch en
                broock of Holland sent
              me from the  Prince of Orange by
              Mr. Desmarets. -
              brought by & Mr. Bentinck when sent
              over to complemt.  K. James on his coming to the crown.
            
              
              27. b"
Prince of Orange,#King3,222931549,['181'],Miscellanies.,EPF108491015,"-181.
            A Sett of microscopes made by  Mr.
                Muss ch en
                broock of Holland sent
              me from the  Prince of Orange by
              Mr. Desmarets. -
              brought by & Mr. Bentinck when sent
              over to complemt.  K. James on his coming to the crown.
            
              
              27. b"
Mr. Desmarets.,,,['181'],Miscellanies.,EPF108491015,"-181.
            A Sett of microscopes made by  Mr.
                Muss ch en
                broock of Holland sent
              me from the  Prince of Orange by
              Mr. Desmarets. -
              brought by & Mr. Bentinck when sent
              over to complemt.  K. James on his coming to the crown.
            
              
              27. b"
Mr. Bentinck,,,['181'],Miscellanies.,EPF108491015,"-181.
            A Sett of microscopes made by  Mr.
                Muss ch en
                broock of Holland sent
              me from the  Prince of Orange by
              Mr. Desmarets. -
              brought by & Mr. Bentinck when sent
              over to complemt.  K. James on his coming to the crown.
            
              
              27. b"
K. James,,,['181'],Miscellanies.,EPF108491015,"-181.
            A Sett of microscopes made by  Mr.
                Muss ch en
                broock of Holland sent
              me from the  Prince of Orange by
              Mr. Desmarets. -
              brought by & Mr. Bentinck when sent
              over to complemt.  K. James on his coming to the crown.
            
              
              27. b"
Mr. Hawksbee.,,,['182'],Miscellanies.,EPF108491015,"-182.
            A ballance for weighing the specific gravities of
              bodies in air & water, made by Mr. Hawksbee. ye Elder
            
              
              21. q"
Dr. Charlett,,,['183'],Miscellanies.,EPF108491015,"-183.
            An ink  case with a foot
              rule compasses & place for a pen given by Dr. Charlett."
Mr. Pinfold.,,,['184'],Miscellanies.,EPF108491015,"-184.
            A cup of gray
              soft
              stone or post with  trees cutt on the pedestall from
                China
               a litle broken on the edge bought  of  Mr. Pinfold. } --- 0. 2. 6
            
              
              26
              A.W.F. 1853.
              H.5 Steatite pierced net work surrounding cup"
Campani,,,['185'],Miscellanies.,EPF108491015,"-185.
            A small
              prospective glasse made by 
                Campani at Rome. given me by Mr. Lenoy."
Mr. Lenoy.,,,['185'],Miscellanies.,EPF108491015,"-185.
            A small
              prospective glasse made by 
                Campani at Rome. given me by Mr. Lenoy."
Mr. Haynes,,,['2004'],Miscellanies.,EPF108491015v,"-2004.
            A larger Chinese stillyed of a black
              wood given me by Mr.
                Haynes
            
              
              X"
Mrs. Waters,,,['2008'],Miscellanies.,EPF108491015v,"2008.
            Auricules, white thorn flowers, a tulip double-rockets &. in Shell
              work by Mrs. Waters sett in a vase wt. Festoons."
Charles 2d,,,['2009'],Miscellanies.,EPF108491015v,"2009.
            A mask of  Charles 2d face from  Mr. Killigrew 1987."
Mr. Killigrew,,,['2009'],Miscellanies.,EPF108491015v,"2009.
            A mask of  Charles 2d face from  Mr. Killigrew 1987."
Oliver Cromwell,,,['2010'],Miscellanies.,EPF108491015v,"2010.
            _________ ,  Oliver Cromwell."
Mr. Wilson,,,['192'],Miscellanies.,EPF108491016,"192.
            A Single microscope made by Mr. Wilson ----- 0.
                1. 6.
            
              
              21 q"
Mr. Ste,,,['194'],Miscellanies.,EPF108491016,"194.
            A brasse
              microscope for seeing objects in a drop of water
              invented, made, & given me by Mr. Ste
               Gray of Canter= =bury"
Gray,,,['194'],Miscellanies.,EPF108491016,"194.
            A brasse
              microscope for seeing objects in a drop of water
              invented, made, & given me by Mr. Ste
               Gray of Canter= =bury"
Verle.,,,['196'],Miscellanies.,EPF108491016,"196.
            An artificiall eye made by 
                Verle.
            
              
              27 b."
Mr. Villarmont,,,['201'],Miscellanies.,EPF108491016,"201.
            A small
              racquette & small
              shoe made by the Savages of Canada wt. wch. they walk
              on the snow. Sent by
               Mr. Villarmont?
            
            
              
              19 X.
            
            X"
Q. Elizabeth,,,['2014'],Miscellanies.,EPF108491016v,"2014.
            A busto of  Q. Elizabeth in gold wt. a pearl & enameld flowers round it carved from a medell
              of hers round  wch. head side, ditior in toto non alter
              circulus orbe. R. M.
            
              
            
            X"
Dr. Hook,#Robert_Hooke,32063971,['2017'],Miscellanies.,EPF108491016v,"2017.
            A modell of a wheel for ----  Dr. Hook?"
Mr. Adams,#Mr._Adams,,['2021'],Miscellanies.,EPF108491016v,"2021.
            A trumpet in Guinea used by the inhabitants of
              an ele phants tooth on wch. are engraved the lacerta squammosa an elephant, Hippopotamus
              Lion, goat & unicorn, a hare on a wheel beaver & duck a sword on a bores
              head, a dragon & some plants, This was afterwards turnd to a drinking cup
              with these lines, drink you. This & think no Scorne & though the cup
              be much like a horne. 1599. fines from Ireland by Mr. Adams
            
              
              
            
            XX"
Mr. Ranby,#John_Ranby,59484380,['2029'],Miscellanies.,EPF108491017v,"2029.
            The bole of a tobacco pipe or Calumet from
               Mr. Ranby made of white earths Arrays?"
Dr. Stack,#Drack,311193035,['2035'],Miscellanies.,EPF108491017v,"2035.
            
            
              A pane fass h ioned
                  piece of  Iron
                hollow
                Solid about the thickness of half an
                  inch wch. had extracted gravel sand
                & shells from the coast of Holland
                taken up and given me by  Dr.
                Stack"
Mr. Paine,,,['2036'],Miscellanies.,EPF108491017v,"2036.
            
            
              The delf Potters Glaze being a mixture of
                  Lead. tinn
                sand & kelp melted together Qr. Whether this body is not like China ware. from
                Mr. Paine
            
            
              
              30. C."
Dr. Bartram,,,['2037'],Miscellanies.,EPF108491017v,"2037.
            
            
              This was some Indian Instru= ment ye hole drilld th o
                row it is done very true smooth
                & even I suppose they fixed a litle flint in the end of
                a stick by which they drilled ye hole tho row I found
                it in this shape so you may guess as well as I have it was made & what
                use it was desighned for from  Dr.
                  Bartram.
            
            
              
              28. b."
Mr. Cunningham,#Mr._Cunningham,,['221'],Miscellanies.,EPF108491018,"-221.
            A Baskett or hatt made of cane
              Splitt &
              palm leaves sent me by Mr. Cunning =
                =ham from China."
Dr. Bartram,,,['2038'],Miscellanies.,EPF108491018v,"2038.
            
            
              The head of an arrow made of
                white sparr, from Penslvany br
                 Dr. Bartram wt. the
                following remark The thin
                white stone is an Indian arrow point as small&
                neat one as most for which reason I sent it. it would push an europian to
                make such an one wt. only a couple of stone?
            
            
              
              28 b"
Mr. Cotts,,,['2040'],Miscellanies.,EPF108491018v,"2040.
            
            
              a Cradle wt. a pair of Shoes from
                  Hudsons Bay
                 by Mr. Cotts
                Surgeon
            
            
              
              19x"
Mr. Mason,#Mr._Mason,,['2046'],Miscellanies.,EPF108491019v,"2046.
            
            
              & broad end from,
                    Mr. Mason see No.
                1783."
Mrs. Edwards,,,['2048'],Miscellanies.,EPF108491019v,"2048.
            
            
              Ten sevll :habits tending to the Religious
                orders from Flanders from Mrs. Edwards
            
            
              <199. c. 29 b.
            
            XX"
Mr Bell,#George_Bell,3745148705707037080009,['2049'],Miscellanies.,EPF108491019v,"2049
            
            
              Sevll : flowers made of
                  Shells from
                Cornwall from  Mr Bell."
Mr. Dandridges,,,['2055'],Miscellanies.,EPF108491019v,"2055.
            
            
              Mr. Dandridges
                white
                Gun-powder composed of 8 parts salt peter, 5. parts
                loaf sugar finest 1 part Sulphur
            

            
              < 216f3 19 k"
Capt: Hebden,,,['2058'],Miscellanies.,EPF108491020v,"2058.
            
            
              A Harlequins sword the handle of w
                given me by ch : is
                made in imitation of the neck of a fowl & the Broad blade of a
                  Lime tree board varnish'd Capt: Hebden wt :
                   King Charles's Letter"
King Charles's ,,,['2058'],Miscellanies.,EPF108491020v,"2058.
            
            
              A Harlequins sword the handle of w
                given me by ch : is
                made in imitation of the neck of a fowl & the Broad blade of a
                  Lime tree board varnish'd Capt: Hebden wt :
                   King Charles's Letter"
Mr. Courtens,,,['2063'],Miscellanies.,EPF108491020v,"2063.
            
            
              Four pieces of wt : sevll :
                small mark's upon them of the same sort
                tho' of different forms & one of them wt. out marks in
                  copper both from  Mr.
                  Courtens Collections who likly thad them from his
                 Father who had great trade in the East Indies
            

            
              199. C. 26"
Father who,,,['2063'],Miscellanies.,EPF108491020v,"2063.
            
            
              Four pieces of wt : sevll :
                small mark's upon them of the same sort
                tho' of different forms & one of them wt. out marks in
                  copper both from  Mr.
                  Courtens Collections who likly thad them from his
                 Father who had great trade in the East Indies
            

            
              199. C. 26"
Capt : Middleton,,,['2065'],Miscellanies.,EPF108491021v,"2065.
            A nest of Olagans or Thirty Basketts made w
                t.
              Birch Bark & adorn'd wt :
                Porcupines quils given me by  Capt : Middleton who' brought them from Hudson
                bay. Different houragans, ou petits paniers fait d'ecorces d'
              arbres par les Sauvages du Canada.
                Biron p. 281."
Mr. Bartram,,,['2067'],Miscellanies.,EPF108491021v,"2067. 
            Pieces of Pots used by the Indians. This I gather'd on our sea coast y e one is a piece of a stone pot made of a
                soft stone found in sevll : parts
              of our country & indureth. ye. fire well. The other
              is a piece of a pot made of a white
              clay mix't wt : pounded
              shells I suppose to add a firmer Consistency to it I suppose
              the roughness on the out side was done wt. design for
              most on our sea coast & Susquehama is so but I
              have one that was found between delaware &
              Hudson river that was very
              smooth on the out side. from
              Philadelphia by  Mr. Bartram
            
              216 e"
Dr. Hook,#Robert_Hooke,32063971,['266'],Miscellanies.,EPF108491022,"-266.
            A piece of a concave
                mettall in glasse-
              belong'd to  Dr.
                Hook?
            
              
              ✓ 199 d
              24 C"
Fa. Fo ntenay,,,['269'],Miscellanies.,EPF108491022,"269.
            A Chinese 
              horn for gunpowder. given me by  Fa. Fo  ntenay.
            
              
              19. J.
            
            X"
Mr. Wright,,,['2069'],Miscellanies.,EPF108491022v,"2069.
            A pair of Stockings of Beavers skin prepar'd wt. his brain & streak'd wt. red wt. the root of____ adorn'd wt. fringes made wt. porcupins
                quils & hair dyed
              red . from Mr.
                Wright
            
              
              19 X"
Mr. Seregold,,,['2071'],Miscellanies.,EPF108491022v,"2071.
            Casts of sevll : medal in Plaister of
                Paris given me by Mr.
              Seregold
            
              
              21 R."
Mr. Cunningham.,,,['273'],Miscellanies.,EPF108491023,"273.
            A past made of the  flowrs of
              Quoi sent me by Mr.
                  Cunningham.
              used as a perfume ? Ex quoi hoa five floribus
                Quoi in pollinem redactis unde fit massa in
              hare figuram impressa."
Mr. Winthorp,#John_Winthrop,11132722,['2080'],Miscellanies.,EPF108491023v,"2080.
            Bay berry soap from new England tis  Mr. Winthorp
            
              
              19 m"
Miss Stanley,#Miss_Stanley,,['2081'],Miscellanies.,EPF108491023v,"2081.
            Shell work by Miss Stanley."
Dr.Adair,,,['289'],Miscellanies.,EPF108491024,"289.
            A Chinese Idoll wt. a pair of
              shoes.- of  Dr.Adair ExE. 1. 1. 6.
            
            
              
            
            X"
Dr. Hamps,,,['2086'],Miscellanies.,EPF108491024v,"2086.
            A glasse or Past made of Chalk & Clay by a Friend of
                  Dr. Hamps.
            
              
              20 J."
Mr.. Wildy,,,['2092'],Miscellanies.,EPF108491024v,"2092.
            A Hygrometer 
               of a new invention from
                Germany given me by  Mr..
                Wildy at the corner of Pauls church yard.
            
              
               19 g"
Green,,,['290'],Miscellanies.,EPF108491025,"-290.
            Thirteen plates of  piece . Six Green
              Serpentine
              
              stone. A cup with cover of a dark
               Serpentine stone. The same of a paler  colour. Two scollop'd shallow cups
               of pale serpentine stone wanting a piece. Two 
              square boxes with locks of pale
               serpentine stone. Two Candlesticks  of the same. One Tankard of redish
               Serpentine. One tea pott, 2 Canisters  One sugar dish. One
                Standish wt.  Ink pott, sand &
              wafer box. five  Candlesticks wanting 1  dishes 2 of them broken. Three  mortars, one
              pestle. Two cups wt. covers on 3 knobs. One boat. Two 
              Sand boxes. Six cups. ten saucers  Ink pott with a cover. Two dram.  cups
              one broken. Knive cane, hafts  beads &c. of  Dr. Adairs- Exl.
                2. 3. 0.
            
            
              
              & Base story"
