Mr. Edwards,#Mr._Edwards,13086266,['1844'],Miscellanies.,EPF108491004v,"-1844.
            A fisgegg from Hudsons bay to catch salmon made of two long
              bearded bones sett at the end of a sharp wo- oden pole all fastened wt. fish
                gutts. from  Mr. Edwards.","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1844.</ea:catnum>
            <p>A <add rend=""underline"">fisgegg</add> from <placeName ref=""#Hudson_Bay""><add rend=""underline"">Hudsons</add> bay</placeName> to catch salmon made of<lb/> two <measure type=""sizeWeight"">long</measure>
              <material>bearded bones</material> sett at the end of a <note type=""texture"">sharp</note> wo-<lb/> oden pole all fastened w<hi rend=""sup"">t</hi>. <material>fish
                gutts</material>. from <persName ref=""#George_Edwards, Mr._Edwards""> M<hi rend=""sup"">r</hi>. <add rend=""underline"">Edwards</add></persName>.</p>
            <p>
              
            </p>
          </div3>

          "
Mr. Collinson,#Peter_Collinson,13091055,['1845'],Miscellanies.,EPF108491004v,"-1845.
            A stick made of the sorrell tree in Carolina painted
                wt. brown lines. from 
              Mr. Collinson.","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1845.</ea:catnum>
            <p>A <add rend=""underline"">stick</add> made of the <material><add rend=""underline"">sorrell</add> tree</material> in <placeName ref=""#Carolina"">Carolina </placeName>painted<lb/>
                w<hi rend=""sup"">t</hi>. <note type=""colour"">brown</note> lines. from 
              <persName ref=""#Peter_Collinson"">M<hi rend=""sup"">r</hi>. <add rend=""underline"">Collinson</add></persName>.</p>
            <p>
              
            </p>
          </div3>

          "
Monsr. Gosset,#Matthew_Gosset,5.07154E+20,['1847'],Miscellanies.,EPF108491004v,"-1847.
            An odd figured punch ladle made of yew wood by  Monsr.
                Gosset in Ireland & given to me by him.
            
              
              19. O","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1847.</ea:catnum>
            <p>An odd figured punch <add rend=""underline"">ladle</add> made of <add rend=""underline""><material>yew wood</material></add> by <persName ref=""#Matthew_Gosset""> Mons<hi rend=""sup"">r</hi>.<lb/>
                <add rend=""underline"">Gosset</add></persName> in <placeName ref=""#Ireland"">Ireland</placeName> &amp; given to me by him.</p>
            <p>
              
              <add rend=""red"">19. O</add>
            </p>
          </div3>

          "
Dr. Mortimer,#Cromwell_Mortimer,32901076,['1851'],Miscellanies.,EPF108491004v,"-1851.
            A china
              whitish tea dish wt. the gold fish painted on it from
                 Dr. Mortimer","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1851.</ea:catnum>
            <p>A <add rend=""underline""><material>china</material></add>
              <note type=""colour"">whitish</note> tea dish w<hi rend=""sup"">t</hi>. the <note type=""colour"">gold</note> fish <note type=""colour"">painted</note> on it from
                <persName ref=""#Cromwell_Mortimer""> D<hi rend=""sup"">r</hi>.<lb/> Mortimer</persName></p>





            <pb xml:id=""EPF108491005""/>
            <p>
              
            </p>
          </div3>

          "
Mr. Gordon,#Mr._Gordon,,['1852'],Miscellanies.,EPF108491005v,"-1852.
            A tobacco pouch or purse made of
                maiz & some tinsel ribbon in wch.
              are pipes made of tobacco cutt small for
              smoking inclosed in small tubuli made of the
              covering or spathe of the maiz seeds. From  Mr. Gordon who had it from
              Mexico.
            
              
              
              
              25.
              X","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1852.</ea:catnum>
            <p>A <add rend=""underline"">tobacco pouch</add> or purse made of
                <material>maiz</material> &amp; some<lb/> tinsel ribbon in w<hi rend=""sup"">ch</hi>.
              are pipes made of tobacco<lb/> cutt <measure type=""sizeWeight"">small</measure> for
              smoking inclosed in <measure type=""sizeWeight"">small</measure> tubuli<lb/> made of the
              covering or spathe of the <material>maiz<lb/> seeds</material>. From <persName ref=""#Mr._Gordon""> M<hi rend=""sup"">r</hi>. <add rend=""underline"">Gordon</add></persName> who had it from<lb/>
              <placeName ref=""#Mexico"">Mexico</placeName>.</p>
            <p>
              
              
              
              <add rend=""red"">25.</add>
              <metamark rend=""ink"">X</metamark>
            </p>
          </div3>

          "
Dr. Massy,#Richard_Middleton_Massey,,['1856'],Miscellanies.,EPF108491005v,"-1856.
            Stocking Shoes
              
                 Boots wt. a great top such as
              fisherman use made of Deer whale or fish
                skins from Hudsons bay by 
              Dr. Massy.
            
              CCXVI","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1856.</ea:catnum>
            <p><add rend=""underline"">Stocking Shoes</add>
              <metamark function=""carets"">
                <add hand=""shift""><add rend=""underline""> Boots</add></add></metamark> w<hi rend=""sup"">t</hi>. a <measure type=""sizeWeight"">great</measure> top such as
              fisherman use made<lb/> of <metamark function=""carets"">Deer</metamark> whale or fish
                <material>skins</material> from <placeName ref=""#Hudson_Bay"">Hudsons bay</placeName> by 
              <persName ref=""#Richard_Middleton_Massey"">D<hi rend=""sup"">r</hi>. Massy</persName>.</p>
            <p>
              <add rend=""red"">CCXVI</add>
            </p>
          </div3>

          "
Dr. Douce,#Dr_Douce,,['1857'],Miscellanies.,EPF108491005v,"-1857.
            A crese or Indian dagger used by the Malays in a
              wooden Scabbard and an ebony handle in laid wt. gold plates. from Dr.
                Douce.","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1857.</ea:catnum>
            <p>A crese or Indian <add rend=""underline"">dagger</add> used by the Malays in a
              wooden<lb/> Scabbard and an <material>ebony</material> handle in laid w<hi rend=""sup"">t</hi>. <material>gold</material> plates. from <persName ref=""#Dr_Douce"">D<hi rend=""sup"">r</hi>.<lb/>
                <add rend=""underline"">Douce</add></persName>.</p>
            <p>
              
            </p>
          </div3>

          "
Duke of Bourbons,#Duke_of_Bourbon,59381568,['1859'],Miscellanies.,EPF108491005v,"-1859.
            The  in Duke of Bourbonsgold
              in a blew chagrin case given by himselfe to me","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1859.</ea:catnum>
            <p>The  in <persName ref=""#Duke_of_Bourbon"">Duke of <add rend=""underline"">Bourbons</add></persName><gap reason=""illegible""/><note type=""colour"">gold</note>
              in a <note type=""colour"">blew</note> chagrin<lb/> case given by himselfe to me</p>
            <p>
              
            </p>
          </div3>

          "
Philip. 2d,#Philip_2nd_of_Spain,,['1860'],Miscellanies.,EPF108491005v,"-1860
            A small
              coconut carvd wt.
              a peacock, spread eagle, heart &c. Soi de Leonor,
              sister to Philip. 2d. of Spaine set in gold- philagreen.","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1860</ea:catnum>
            <p>A <measure type=""sizeWeight"">small</measure>
              <add rend=""underline""><material>coconut</material></add> carvd w<hi rend=""sup"">t</hi>.
              a peacock, spread eagle, heart &amp;c.<lb/> Soi de <add rend=""underline"">Leonor,</add>
              sister to <persName ref=""#Philip_2nd_of_Spain"">Philip. 2<hi rend=""sup"">d</hi></persName>. of <placeName ref=""#Spain"">Spaine</placeName> set in <material>gold-<lb/> philagreen</material>.</p>
            <p>
              
              
            </p>
          </div3>

          "
Mrs. Edwards,#Mrs._Edwards,,['1861'],Miscellanies.,EPF108491005v,"-1861
            
             to me by
                  Mrs. Edwards.
              enter'd by mistake given by Sr. Hans to
              me J Empson.","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">
              <add rend=""del"">-1861</add>
            </ea:catnum>
            <p><lb/> to me by
                  <persName ref=""#Mrs_Edwards, Mrs._Edwards"">M<hi rend=""sup"">rs</hi>. <add rend=""underline"">Edwards</add></persName>.
              enter'd by mistake<lb/> given by <persName ref=""#Hans_Sloane"">S<hi rend=""sup"">r</hi>. Hans</persName> to
              me <persName ref=""#J_Empson"">J Empson</persName>.</p>
            <p>
              
            </p>
          </div3>
        

          "
Sr. Hans,#Hans_Sloane,77959,['1861'],Miscellanies.,EPF108491005v,"-1861
            
             to me by
                  Mrs. Edwards.
              enter'd by mistake given by Sr. Hans to
              me J Empson.","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">
              <add rend=""del"">-1861</add>
            </ea:catnum>
            <p><lb/> to me by
                  <persName ref=""#Mrs_Edwards, Mrs._Edwards"">M<hi rend=""sup"">rs</hi>. <add rend=""underline"">Edwards</add></persName>.
              enter'd by mistake<lb/> given by <persName ref=""#Hans_Sloane"">S<hi rend=""sup"">r</hi>. Hans</persName> to
              me <persName ref=""#J_Empson"">J Empson</persName>.</p>
            <p>
              
            </p>
          </div3>
        

          "
J Empson,#J_Empson,,['1861'],Miscellanies.,EPF108491005v,"-1861
            
             to me by
                  Mrs. Edwards.
              enter'd by mistake given by Sr. Hans to
              me J Empson.","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">
              <add rend=""del"">-1861</add>
            </ea:catnum>
            <p><lb/> to me by
                  <persName ref=""#Mrs_Edwards, Mrs._Edwards"">M<hi rend=""sup"">rs</hi>. <add rend=""underline"">Edwards</add></persName>.
              enter'd by mistake<lb/> given by <persName ref=""#Hans_Sloane"">S<hi rend=""sup"">r</hi>. Hans</persName> to
              me <persName ref=""#J_Empson"">J Empson</persName>.</p>
            <p>
              
            </p>
          </div3>
        

          "
Lady Sondes,#Lady_Sondes,,['1862'],Miscellanies.,EPF108491005v,"-1862
            
              Lady Sondes. enter'd by mistake
              given by  Sr. Hans to  Mr. Southwell","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1862</ea:catnum>
            <p><lb/>
              <persName ref=""#Lady_Sondes"">Lady <add rend=""underline"">Sondes</add></persName>. enter'd by mistake<lb/>
              given by <persName ref=""#Hans_Sloane""> S<hi rend=""sup"">r</hi>. Hans</persName> to <persName ref=""#Robert_Southwell""> M<hi rend=""sup"">r</hi>. <gap reason=""illegible""/>Southwell</persName></p>
            <p>
              
            </p>
          </div3>




          "
